"","X","date","new_cases","mod_fit_res","fit_mean","fit_0.025","fit_0.975"
"60",60,2020-04-20,2256,2984.21375781225,2866.7017065242,2803.45451299374,2921.9268430567
"61",61,2020-04-21,2729,2983.73252634742,2801.14322108317,2735.01301239651,2850.42249935023
"62",62,2020-04-22,3370,2835.46105124839,2741.97033425548,2676.16337566393,2781.54134577039
"63",63,2020-04-23,2646,2759.60101312338,2688.07445407402,2623.24190225813,2724.37914785081
"64",64,2020-04-24,3021,2616.98003997366,2565.13607608671,2510.21091449644,2601.2500326193
"65",65,2020-04-25,2357,2495.751656996,2466.30194782968,2415.11079858491,2492.93488508911
"66",66,2020-04-26,2324,2243.37683482649,2324.6491130391,2281.69139736204,2348.28808486827
"67",67,2020-04-27,1739,2117.94954366042,2203.26945535578,2161.24595670967,2228.41513260681
"68",68,2020-04-28,2091,2052.32147737339,2122.55407212603,2081.96718215455,2150.38112009195
"69",69,2020-04-29,2086,2013.0721446134,2033.04480727805,1997.39289490002,2064.1473015635
"70",70,2020-04-30,1872,1987.92568325755,1904.22636671086,1870.99002276826,1935.50447221962
"71",71,2020-05-01,1965,1858.23290685026,1815.14532730687,1785.51854499918,1841.8769073
"72",72,2020-05-02,1900,1694.42957211647,1684.75802398049,1655.83602111338,1710.16089344402
"73",73,2020-05-03,1389,1543.97102647994,1580.41503150397,1552.95305187289,1605.44585614707
"74",74,2020-05-04,1221,1357.89715265186,1479.84407921505,1454.36564193137,1508.602189799
"75",75,2020-05-05,1075,1266.8097853738,1448.57532678741,1425.2053732414,1480.28124159822
"76",76,2020-05-06,1444,1162.30043245936,1376.6234006478,1355.87565976674,1407.31774412024
"77",77,2020-05-07,1401,1086.93386192666,1302.92309014668,1282.92369072969,1333.22920856845
"78",78,2020-05-08,1327,1088.80010680901,1233.58912045299,1210.48079305934,1263.55393440727
"79",79,2020-05-09,1083,1096.07751265587,1161.71577817774,1137.33281563313,1194.54027710324
"80",80,2020-05-10,802,1125.77400883607,1077.86017805735,1054.36391453243,1109.37420882613
"81",81,2020-05-11,744,1159.70472367096,1016.94187251843,993.19377335933,1048.56138262778
"82",82,2020-05-12,1402,1124.95367965329,985.667891991622,963.027772228847,1015.23261107283
"83",83,2020-05-13,888,1065.92530726446,956.333473076584,933.849093151853,985.22982415359
"84",84,2020-05-14,992,941.91969158969,904.847265470972,880.811265809304,930.409021152575
"85",85,2020-05-15,789,859.461392326048,854.422277868956,831.990309303443,879.971582606868
"86",86,2020-05-16,875,823.918372574175,805.933079377049,782.603658065078,833.516502988478
"87",87,2020-05-17,675,707.004363804532,770.168824425108,748.714176593176,799.26887990882
"88",88,2020-05-18,451,649.247549493826,738.258618343125,714.076274747095,768.06996383512
"89",89,2020-05-19,813,604.265586328664,712.568303296307,687.008061674107,738.996974688845
"90",90,2020-05-20,665,601.909651330032,664.784674223513,637.635759884071,687.89255817518
"91",91,2020-05-21,642,568.046817204508,634.05918105207,608.888674885205,658.810904711551
"92",92,2020-05-22,652,534.226876787288,603.822358614288,578.624880248005,628.445990558272
"93",93,2020-05-23,669,573.24658077702,578.877147253025,556.564803190232,602.460419927274
"94",94,2020-05-24,531,562.348187376512,543.252288302795,522.021099574106,563.249568021224
"95",95,2020-05-25,300,564.951857495529,514.548369857195,493.224848401134,533.8716319589
"96",96,2020-05-26,397,555.734795921162,503.029708710952,482.373793993685,523.78412742086
"97",97,2020-05-27,584,487.074380523612,473.619749659117,453.231848533286,493.547267568533
"98",98,2020-05-28,593,441.721255054872,445.183658404593,425.159923848349,462.474309996013
"99",99,2020-05-29,516,420.332974985882,425.640208359628,406.891506552163,442.376645133407
"100",100,2020-05-30,416,371.339804550982,406.160319072725,384.119721336476,423.887460020632
"101",101,2020-05-31,333,342.871329506946,378.320992354361,357.154515641615,393.384452647316
"102",102,2020-06-01,200,322.067461585189,361.982403341475,341.845931412412,376.189173551949
"103",103,2020-06-02,318,305.505453285848,358.403448928783,340.548701693242,373.194869187847
"104",104,2020-06-03,321,275.232961817674,348.378561299246,330.232149839351,362.804937984843
"105",105,2020-06-04,177,279.748937717581,328.839513942171,312.285363481611,345.336265111094
"106",106,2020-06-05,518,275.709007115569,304.712918112975,287.825271486412,321.977961506445
"107",107,2020-06-06,270,302.224976360623,286.259255306967,268.236991517473,303.97694565103
"108",108,2020-06-07,197,291.14486962033,278.803172980944,253.697264221565,296.56060004727
"109",109,2020-06-08,280,324.934856610256,275.248145722885,249.81307991943,293.015398654849
"110",110,2020-06-09,283,327.315326676646,275.362528564206,249.858946011798,293.378390723553
"111",111,2020-06-10,202,325.640491322323,274.140080269689,248.166813669193,292.1015496272
"112",112,2020-06-11,379,291.957410580944,278.002670675093,250.290249479519,294.918846446985
"113",113,2020-06-12,163,267.837512428843,285.457494706145,254.266850227236,303.622354517894
"114",114,2020-06-13,346,292.037109384459,277.777939893006,245.447638740334,296.694260185616
"115",115,2020-06-14,338,268.819152735727,268.523008962645,241.175946818938,286.481127362403
"116",116,2020-06-15,301,260.8713750311,268.285209750239,240.567735607243,286.241980135969
"117",117,2020-06-16,210,271.96355163501,259.684695773311,232.202672527012,275.84215492698
"118",118,2020-06-17,328,265.078598608292,259.549786341775,231.45359527874,274.434309019712
"119",119,2020-06-18,331,279.153514014557,265.99520499747,238.841344533763,281.217521188104
"120",120,2020-06-19,NA,288.143715476588,263.765396995982,237.256636678982,277.29065519887
"121",121,2020-06-20,264,292.681331072206,262.514762065644,237.010631921426,273.246994130565
"122",122,2020-06-21,224,284.093269933481,255.617486602873,233.81368395139,265.730692866905
"123",123,2020-06-22,221,271.260276671324,243.072042638532,228.156667857006,253.216428816094
"124",124,2020-06-23,113,252.711715278303,234.256072971959,219.421352988416,245.409255882546
"125",125,2020-06-24,577,244.135825065372,231.500153212677,216.238645122531,241.748122629825
"126",126,2020-06-25,296,233.815623804665,224.074123680466,209.151216257898,233.079411053476
"127",127,2020-06-26,255,249.453582709742,214.644593077225,200.979325127646,224.743963221757
"128",128,2020-06-27,175,239.609694659477,207.938871533313,197.626007647805,218.737186335998
"129",129,2020-06-28,174,226.370414517936,204.724852119213,195.566063187713,215.886138005823
"130",130,2020-06-29,126,221.564505366754,202.048328473293,193.187989203297,212.527924457542
"131",131,2020-06-30,142,227.19933383906,197.077963499625,188.336554097745,208.044730968315
"132",132,2020-07-01,182,237.484452113829,198.461742632924,189.864012039319,211.47929974111
"133",133,2020-07-02,201,224.719497495331,193.88826272718,185.959480989286,206.568708148494
"134",134,2020-07-03,223,207.342188937968,190.339850898496,182.269072093325,203.128273673193
"135",135,2020-07-04,235,208.376055105618,187.48480585699,178.670044576211,199.923815360742
"136",136,2020-07-05,192,231.048037896515,189.993088415008,181.164072398541,202.245831043045
"137",137,2020-07-06,208,209.747830412962,190.102858279463,181.299840940219,201.936432306176
"138",138,2020-07-07,137,188.042851417937,188.55472406743,180.688934255693,201.05081175731
"139",139,2020-07-08,193,188.591870403208,191.399576077062,183.686636054019,203.266768031027
"140",140,2020-07-09,214,196.39462013662,194.367469520897,187.061609873562,207.535061051128
"141",141,2020-07-10,276,195.778517770203,197.347120010346,190.184833318249,210.546146437504
"142",142,2020-07-11,188,196.789065046847,199.584266477266,190.027769253537,213.346021814563
"143",143,2020-07-12,234,199.16242889667,198.62351365912,188.882715032714,211.392019456229
"144",144,2020-07-13,169,201.075300658238,198.441913891635,188.269657913201,211.269498013251
"145",145,2020-07-14,114,185.814195953513,197.481730397501,186.334953724665,210.283748830513
"146",146,2020-07-15,162,198.24982021749,206.070167063541,192.575040764987,220.021893879516
"147",147,2020-07-16,230,196.05188086108,215.231161805056,198.767336920722,228.181846902132
"148",148,2020-07-17,231,191.902989134745,218.244796263852,202.211950181478,231.395438586797
"149",149,2020-07-18,249,192.09884230452,218.375290649656,202.83100243562,231.14000621001
"150",150,2020-07-19,218,179.382351839158,219.444817523504,204.422849263801,233.089827871904
"151",151,2020-07-20,190,183.653780956927,216.147710931137,201.295931383006,231.030965340681
"152",152,2020-07-21,128,192.222638569277,219.013343524006,203.976671506356,234.948868130148
"153",153,2020-07-22,280,204.450118316774,229.919105427711,214.436182985047,246.291983207967
"154",154,2020-07-23,306,229.172952864552,241.642501235414,226.87992821897,258.206755449934
"155",155,2020-07-24,252,234.777123147331,253.015952594553,237.278064617295,268.607188648916
"156",156,2020-07-25,274,248.062598950317,258.539133597308,241.100411923317,274.081291714969
"157",157,2020-07-26,254,268.865011563816,258.662884358916,242.024689009547,272.872214846989
"158",158,2020-07-27,168,259.187936320319,255.661077760453,238.668341825768,268.866315657722
"159",159,2020-07-28,202,227.467853306211,255.256103380263,238.80292967733,268.4509788503
"160",160,2020-07-29,288,235.05035618422,268.663899816458,252.351474850386,281.884857637428
"161",161,2020-07-30,382,242.927972862701,279.342750593655,264.837326949092,290.657468225537
"162",162,2020-07-31,379,265.720764153259,293.228868740944,281.719283217586,303.755981110415
"163",163,2020-08-01,295,264.559546495642,301.702354854263,287.836788716661,312.261610606169
"164",164,2020-08-02,238,305.364862329065,310.83673191599,296.923331591589,323.033554205682
"165",165,2020-08-03,159,298.699154430738,315.042187810074,300.630303106306,327.223551407684
"166",166,2020-08-04,190,366.036503182811,331.272458098089,316.593052041249,343.077667730898
"167",167,2020-08-05,384,396.466651059513,348.13130113256,333.389864433208,359.487630489872
"168",168,2020-08-06,401,435.134705744858,364.968745733809,348.865892994701,377.070115331706
"169",169,2020-08-07,552,441.70417980515,378.355998806341,361.683998590724,392.512381707979
"170",170,2020-08-08,347,429.047385002254,391.549908311785,375.553722378075,407.04027999307
"171",171,2020-08-09,463,433.519009912416,403.557005405181,388.249948977674,419.074194916678
"172",172,2020-08-10,259,412.335941718367,407.172661034877,393.785181428557,423.847278341706
"173",173,2020-08-11,412,416.390589435701,423.135937406584,411.013819479954,440.814075515556
"174",174,2020-08-12,476,439.02858537322,454.188322880024,437.496187654553,472.334914398214
"175",175,2020-08-13,522,467.749603167089,484.418705554337,468.375877687523,503.402759072781
"176",176,2020-08-14,574,452.291151357727,521.626428123776,503.734165625945,542.713651624621
"177",177,2020-08-15,629,490.235084930318,557.9473042969,539.661735202718,581.012906433657
"178",178,2020-08-16,477,475.255154961371,609.856218760534,592.738665956679,636.661355178627
"179",179,2020-08-17,320,524.306096294138,647.219050035511,626.479738000525,673.010271816452
"180",180,2020-08-18,401,554.408550087071,686.997238552075,663.435608475956,712.0554089931
"181",181,2020-08-19,642,685.785902602482,748.36150808513,724.472392203225,776.04300499337
"182",182,2020-08-20,840,785.388626516098,807.498002879286,782.723709568579,840.205536225798
"183",183,2020-08-21,947,898.431104623334,869.762974440617,845.179736980072,900.887015393561
"184",184,2020-08-22,1071,976.609866739367,926.448502848514,902.123838141242,957.392951269333
"185",185,2020-08-23,1209,1038.34715860794,974.687687586584,949.517533674206,1007.79540203233
"186",186,2020-08-24,953,1168.75202203816,1007.3562361207,982.422707916714,1042.45509152406
"187",187,2020-08-25,876,1187.19397328972,1055.23585619513,1027.34484623744,1089.50071982796
"188",188,2020-08-26,1366,1193.70381920008,1119.79273387766,1090.09311247062,1153.5285259877
"189",189,2020-08-27,1409,1277.54468560789,1168.18479013133,1142.00852216924,1201.66513319816
"190",190,2020-08-28,1460,1291.62998870231,1226.79214501345,1199.77782501892,1262.72887883892
"191",191,2020-08-29,1444,1343.65258389246,1273.0908483712,1248.49111910743,1307.52832217277
"192",192,2020-08-30,1365,1311.84876483429,1290.21067664743,1263.42008206402,1323.27120918909
"193",193,2020-08-31,996,1318.04438727594,1287.98839685496,1259.44812487961,1319.28986457859
"194",194,2020-09-01,975,1348.7699775896,1315.15188212,1290.76379564541,1345.94932767081
"195",195,2020-09-02,1326,1320.79852052015,1349.97034328421,1328.14543660899,1383.89326665961
"196",196,2020-09-03,1397,1374.00096143776,1370.74309862466,1344.43836388378,1402.58413952989
"197",197,2020-09-04,1732,1387.4275800403,1391.58357021165,1364.12645498652,1418.43822764099
"198",198,2020-09-05,1694,1388.81841115007,1393.48477161916,1366.50510486465,1422.95029300204
"199",199,2020-09-06,1296,1359.25093355897,1395.73926648246,1367.83855206187,1424.20058181407
"200",200,2020-09-07,1150,1348.89963774919,1378.31834243987,1349.17114171994,1403.82638239446
"201",201,2020-09-08,1369,1304.52542974433,1390.4695913722,1361.5603758857,1417.19145429145
"202",202,2020-09-09,1430,1347.38025947957,1417.10009572021,1390.50909989113,1449.98160322367
"203",203,2020-09-10,1597,1347.69561959943,1427.65012760443,1402.40732164494,1462.46370533059
"204",204,2020-09-11,1616,1372.50243253959,1459.47943801986,1435.12406523257,1494.24202721558
"205",205,2020-09-12,1501,1390.51946493704,1454.44948964576,1431.20874412035,1487.46109677448
"206",206,2020-09-13,1456,1425.17487303825,1450.41236695085,1425.06717619134,1483.50319999764
"207",207,2020-09-14,1008,1488.2546329308,1450.80890683909,1427.55394332222,1489.1122018369
"208",208,2020-09-15,1229,1491.96925005835,1466.46526201388,1445.74925715363,1504.68818656268
"209",209,2020-09-16,1452,1498.27356231445,1481.4421931017,1460.56657389801,1520.30881120739
"210",210,2020-09-17,1583,1614.66527945723,1507.87802570711,1487.45202181002,1545.81079152644
"211",211,2020-09-18,1907,1660.18755042634,1525.51614025331,1508.91257773056,1565.32636357849
"212",212,2020-09-19,1637,1727.38387899217,1538.01294546507,1521.37968684239,1577.88032730483
"213",213,2020-09-20,1587,1616.10126786435,1555.30256883842,1539.01846874247,1597.87558464625
"214",214,2020-09-21,1350,1569.79294871632,1562.52394398816,1546.30336959721,1604.20944585162
"215",215,2020-09-22,1391,1576.21888261172,1605.81533080046,1590.41334822151,1646.65229001845
"216",216,2020-09-23,1640,1514.23237894545,1650.74313267188,1633.98494690213,1688.77454870326
"217",217,2020-09-24,1786,1527.08340358868,1724.83858372337,1707.85928763663,1758.82332506975
"218",218,2020-09-25,1912,1681.64151549648,1788.65909602127,1767.02560719788,1820.79117902006
"219",219,2020-09-26,1869,1661.88511080964,1851.07216645869,1829.66327309981,1882.5500855955
"220",220,2020-09-27,1766,1740.22570997366,1917.55236107703,1891.96804894591,1948.86766969049
"221",221,2020-09-28,1494,1712.02308952523,1962.93957019316,1938.53244354603,1993.7451789289
"222",222,2020-09-29,1647,1787.07348451664,2053.65000813605,2028.78012765883,2078.72280512982
"223",223,2020-09-30,1850,2048.57418308826,2207.34946617279,2175.26075896343,2233.14838844792
"224",224,2020-10-01,2548,2306.60524800478,2398.2214422466,2365.07462805689,2428.9811017376
"225",225,2020-10-02,2499,2415.78216885857,2640.06243336371,2603.14882615016,2668.70092792694
"226",226,2020-10-03,2843,2634.83017895679,2890.16179511063,2854.19512156662,2916.43250985624
"227",227,2020-10-04,2578,2661.25160150736,3131.40823529701,3097.07374657045,3158.82268189267
"228",228,2020-10-05,2257,2892.0859998138,3326.30976097599,3286.03877481768,3348.92073646459
"229",229,2020-10-06,2677,3128.86229850078,3621.44994623853,3573.04010767896,3647.19858841905
"230",230,2020-10-07,3677,3424.20303687605,4004.35531701406,3949.80719525699,4033.02473404386
"231",231,2020-10-08,4458,3979.3014833327,4472.02798033788,4410.76472130626,4503.14324855371
"232",232,2020-10-09,5372,4882.20830159419,4976.59042181427,4914.75666860537,5009.45981218079
"233",233,2020-10-10,5724,5385.7598072305,5539.12453052067,5476.26763353003,5572.9293123392
"234",234,2020-10-11,5456,5480.24185450852,6127.02159996722,6063.49931880113,6162.64926899392
"235",235,2020-10-12,4619,5750.10809370899,6571.00268937846,6507.85951309235,6613.37898099919
"236",236,2020-10-13,5898,6217.7303913277,7150.01919251658,7081.90219387519,7192.88640804331
"237",237,2020-10-14,7332,7166.97337337933,7989.30604731815,7908.95540527111,8032.37263065449
"238",238,2020-10-15,8803,8709.390618529,8821.70930570557,8737.41416314234,8869.45772104018
"239",239,2020-10-16,10009,10210.385727845,9806.20241385672,9703.87441832737,9850.71628164478
"240",240,2020-10-17,10925,10406.2691035644,10760.6013141171,10642.478936739,10814.9745386769
"241",241,2020-10-18,11705,10507.5158713643,11798.3661331188,11679.1218433696,11870.4220880934
"242",242,2020-10-19,9337,10588.9041192214,12570.9357144258,12448.683792379,12658.9203544618
"243",243,2020-10-20,10871,11148.464146562,13719.5251816669,13600.9795148686,13814.7314363548
"244",244,2020-10-21,15199,13977.8597701754,14985.9821202231,14874.7247742449,15085.659737308
"245",245,2020-10-22,16078,16831.5214353887,16273.7039473138,16167.3722695429,16387.3887310741
"246",246,2020-10-23,19143,18515.2315277169,17759.1005140863,17659.2704229957,17875.2131552876
"247",247,2020-10-24,19640,20171.1698831367,19192.6192894393,19090.0964605814,19315.4823079023
"248",248,2020-10-25,21273,20221.1408301123,20475.076265395,20349.2167838062,20606.0250462558
"249",249,2020-10-26,17007,19656.1706555003,21195.9906616056,21065.165067201,21326.0249721158
"250",250,2020-10-27,21989,20951.4926178713,22472.6244786625,22322.0320877345,22603.2922085321
"251",251,2020-10-28,24988,23946.0768363151,23777.7058262632,23627.8892778725,23922.0902491548
"252",252,2020-10-29,26829,27999.0498479347,25056.8366182839,24919.9917729345,25208.3092334539
"253",253,2020-10-30,31079,30905.6176794899,26482.0339112872,26355.6440430327,26649.8800621059
"254",254,2020-10-31,31756,30816.0410724678,27853.5698134363,27737.531969374,28020.9866437084
"255",255,2020-11-01,29905,28872.7001861533,28703.5108281034,28592.1755471678,28865.9389687819
"256",256,2020-11-02,22253,26728.8666711358,28982.6197942543,28853.7266669186,29126.6479314993
"257",257,2020-11-03,28241,26236.045520819,30181.6457146066,30052.6137712565,30309.1986099836
"258",258,2020-11-04,30548,29996.0922158738,30926.0065896277,30797.2315004631,31053.0518539872
"259",259,2020-11-05,34502,34997.7198066746,31784.4802036473,31655.9789446132,31913.8511601516
"260",260,2020-11-06,37802,37771.3372858777,32726.2629015379,32581.9626696472,32846.968281681
"261",261,2020-11-07,39809,36743.2956207325,33128.433346639,32985.8042341853,33245.5424055822
"262",262,2020-11-08,32614,34002.7030468493,33284.600635595,33139.8029109397,33397.1624209759
"263",263,2020-11-09,25269,30792.9636466637,33071.0602771161,32946.5312146343,33209.5352067061
"264",264,2020-11-10,35090,29920.4088236653,33713.1722897891,33588.0094285384,33852.2003974135
"265",265,2020-11-11,32961,32873.6619004254,34101.1287387002,33967.8010984314,34249.3517289884
"266",266,2020-11-12,37977,38096.1077870028,34464.9430270068,34325.6114878266,34630.4509162575
"267",267,2020-11-13,40902,40665.1070649594,34647.2545972876,34505.2197976251,34814.4709963105
"268",268,2020-11-14,37249,37414.7778388849,34451.0152269291,34308.8800328669,34613.323526008
"269",269,2020-11-15,33977,33356.6422455972,33700.2523367611,33551.4815466632,33862.278532217
"270",270,2020-11-16,27352,30632.4966372647,33077.1439739982,32929.0956999629,33236.1992214755
"271",271,2020-11-17,32191,30344.3850817727,32934.2987630433,32798.1335164993,33107.5835806581
"272",272,2020-11-18,34280,33125.2897635892,32330.7898474701,32175.095944571,32510.0231599631
"273",273,2020-11-19,36176,36339.2477433744,32060.4002663346,31903.6822016597,32234.8608507481
"274",274,2020-11-20,37239,37435.5505251125,31429.7595275693,31274.8471431012,31596.9632557693
"275",275,2020-11-21,34764,34253.6088646434,30463.2661137791,30314.8049428672,30622.9681105331
"276",276,2020-11-22,28337,30588.8622694667,29357.6692487692,29204.5340718111,29520.839866171
"277",277,2020-11-23,22927,26927.0881211536,28181.2492901343,28033.4059650283,28349.1321102435
"278",278,2020-11-24,23227,24360.0113521675,27676.4924100212,27527.1332965587,27810.8705979289
"279",279,2020-11-25,25852,22673.5459768311,26929.5661431963,26785.6056412123,27061.9218767863
"280",280,2020-11-26,29001,22953.6223970004,26197.0531588077,26067.3699159066,26317.2709153224
"281",281,2020-11-27,28342,23544.6295428586,25412.2610744358,25281.1622633997,25501.2400271408
"282",282,2020-11-28,26315,26256.7952842277,24340.9122533765,24194.5013967556,24433.8096913918
"283",283,2020-11-29,20646,27341.3391459659,23286.2160859279,23134.8678120586,23376.5301008267
"284",284,2020-11-30,16376,26125.3477936352,22304.4992493443,22162.5540525784,22394.0401298142
"285",285,2020-12-01,19347,23091.3573114686,21750.2626993523,21621.5697951893,21842.0068755047
"286",286,2020-12-02,20709,20109.8422719063,21055.060815543,20909.982281322,21133.4687621331
"287",287,2020-12-03,23219,17762.6125570645,20454.6602445372,20323.1869748045,20534.6108302432
"288",288,2020-12-04,24110,16481.7005873388,19777.8931081602,19647.6597876129,19855.7298726473
"289",289,2020-12-05,21052,16007.9063996007,19224.1111096543,19080.6746353023,19303.6466791179
"290",290,2020-12-06,18887,16726.487565822,18664.3006940811,18531.357110831,18753.7825524066
"291",291,2020-12-07,13679,19053.4410479094,18094.1406928163,17964.4064006569,18183.2316841426
"292",292,2020-12-08,14837,18835.9787741762,17995.2150534475,17862.4469553442,18085.0616337772
"293",293,2020-12-09,12755,17651.3541252851,17885.7216375285,17748.9511567034,17975.5823126471
"294",294,2020-12-10,16998,16773.6469969759,17708.9552310219,17562.9741418588,17802.0945767482
"295",295,2020-12-11,18726,16705.821649465,17196.269299338,17055.5869283808,17285.3732469488
"296",296,2020-12-12,19902,16223.6730455265,16666.9502975638,16536.8275361015,16757.5220302763
"297",297,2020-12-13,17937,15763.1513883907,16257.9718224293,16146.0142887896,16337.7485156712
"298",298,2020-12-14,12025,15618.9019790473,15735.8308363633,15623.8807758394,15800.6690406948
"299",299,2020-12-15,14839,15873.9694775713,15691.3190528426,15582.9366909595,15762.5444222588
"300",300,2020-12-16,17568,16888.0648635093,15635.1767687641,15507.0724470371,15702.4666090749
"301",301,2020-12-17,18233,16566.1164229219,15971.1795464801,15860.786628641,16056.578276438
"302",302,2020-12-18,15401,16032.9132942203,16100.6958842975,15986.3560188018,16181.7332581976
"303",303,2020-12-19,16305,15285.9352638994,15564.8073539108,15426.7502687607,15654.0623451864
"304",304,2020-12-20,15102,13870.0562762541,14823.5382493655,14695.005077058,14908.7220363437
"305",305,2020-12-21,10869,13072.0501489311,14197.7219914346,14069.0783296079,14277.8568200591
"306",306,2020-12-22,13316,13355.8407657132,14144.6147194496,14015.2258166117,14231.6696790641
"307",307,2020-12-23,13908,14578.3750524104,14243.6931828625,14100.4440450386,14337.2659445284
"308",308,2020-12-24,18039,15424.4223108937,14618.4068619293,14482.8672412073,14728.3248329557
"309",309,2020-12-25,19037,15793.9611934724,14867.7661219706,14727.7336782893,15015.596042807
